scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-15.56888601,-9.476944425
politeness-refusal-080,080,neutral,-0.4266446583,11.97103517
politeness-refusal-080,080,positive,15.99553067,-2.494090745
politeness-apology-013,013,negative,-17.40453113,-17.98673287
politeness-apology-013,013,neutral,3.915484716,10.90152923
politeness-apology-013,013,positive,13.48904641,7.085203642
politeness-criticism-or-feedback-054,or-feedback-054,negative,-10.11620699,-10.46540572
politeness-criticism-or-feedback-054,or-feedback-054,neutral,3.377665856,15.63180664
politeness-criticism-or-feedback-054,or-feedback-054,positive,6.738541137,-5.166400921
politeness-disagreement-048,048,negative,-13.23161732,-2.454967028
politeness-disagreement-048,048,neutral,2.821823495,9.015214158
politeness-disagreement-048,048,positive,10.40979383,-6.56024713
politeness-correction-005,005,negative,-10.52436201,0.01525691113
politeness-correction-005,005,neutral,1.691093991,5.784351085
politeness-correction-005,005,positive,8.833268023,-5.799607996
politeness-complaint-030,030,negative,-12.2048496,-7.089835061
politeness-complaint-030,030,neutral,-8.250245073,23.02247114
politeness-complaint-030,030,positive,20.45509467,-15.93263608
politeness-complaint-072,072,negative,-14.91545479,-3.999875151
politeness-complaint-072,072,neutral,4.303750649,17.1436361
politeness-complaint-072,072,positive,10.61170414,-13.14376095
politeness-apology-043,043,negative,-15.71412107,-3.784221789
politeness-apology-043,043,neutral,1.399080077,8.148234561
politeness-apology-043,043,positive,14.31504099,-4.364012772
politeness-refusal-038,038,negative,-16.15368073,-5.882955738
politeness-refusal-038,038,neutral,7.109714284,9.258232272
politeness-refusal-038,038,positive,9.043966444,-3.375276534
politeness-reminder-019,019,negative,-13.99815178,-7.022061931
politeness-reminder-019,019,neutral,0.5396924141,10.83590105
politeness-reminder-019,019,positive,13.45845937,-3.813839117
politeness-request-037,037,negative,-17.99535568,1.429193739
politeness-request-037,037,neutral,4.831815974,8.763822376
politeness-request-037,037,positive,13.1635397,-10.19301611
politeness-apology-067,067,negative,-9.806938646,-9.22333904
politeness-apology-067,067,neutral,-0.9513133021,13.64708883
politeness-apology-067,067,positive,10.75825195,-4.423749794
