scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-0.8132128306,-17.29340072
politeness-refusal-080,080,neutral,-1.802759818,6.053534759
politeness-refusal-080,080,positive,2.615972649,11.23986596
politeness-apology-013,013,negative,-14.03525164,30.3621582
politeness-apology-013,013,neutral,2.740545742,-0.09861362851
politeness-apology-013,013,positive,11.29470589,-30.26354457
politeness-criticism-or-feedback-054,or-feedback-054,negative,-0.3202704918,-12.67781904
politeness-criticism-or-feedback-054,or-feedback-054,neutral,6.275082752,-17.35994412
politeness-criticism-or-feedback-054,or-feedback-054,positive,-5.95481226,30.03776316
politeness-disagreement-048,048,negative,-5.78450841,0.2060970944
politeness-disagreement-048,048,neutral,4.100551111,-8.594931468
politeness-disagreement-048,048,positive,1.683957298,8.388834373
politeness-correction-005,005,negative,0.3606324637,-20.93153356
politeness-correction-005,005,neutral,-3.729148766,16.31571467
politeness-correction-005,005,positive,3.368516302,4.615818888
politeness-complaint-030,030,negative,-22.06545568,60.30643617
politeness-complaint-030,030,neutral,6.974379633,-37.13123951
politeness-complaint-030,030,positive,15.09107605,-23.17519665
politeness-complaint-072,072,negative,2.737637316,-31.28910911
politeness-complaint-072,072,neutral,3.173878786,-3.925288459
politeness-complaint-072,072,positive,-5.911516102,35.21439757
politeness-apology-043,043,negative,-17.90253678,41.33313141
politeness-apology-043,043,neutral,7.863240586,-18.62134021
politeness-apology-043,043,positive,10.03929619,-22.7117912
politeness-refusal-038,038,negative,-3.511874729,-12.60439331
politeness-refusal-038,038,neutral,7.536323391,-15.55118821
politeness-refusal-038,038,positive,-4.024448662,28.15558152
politeness-reminder-019,019,negative,-9.016954522,17.08385534
politeness-reminder-019,019,neutral,6.005516445,-17.46164868
politeness-reminder-019,019,positive,3.011438077,0.3777933356
politeness-request-037,037,negative,-5.854011629,-3.937999248
politeness-request-037,037,neutral,-3.328419246,19.18457824
politeness-request-037,037,positive,9.182430876,-15.24657899
politeness-apology-067,067,negative,-13.37541688,37.0621348
politeness-apology-067,067,neutral,4.052336257,-17.22966928
politeness-apology-067,067,positive,9.323080627,-19.83246552
